Point{id=id29, cat=RESTAURANT, lat=-35.7986049109, lon=144.599045548}
Point{id=id716, cat=RESTAURANT, lat=-36.2008306938, lon=144.586555943}
Point{id=id657, cat=RESTAURANT, lat=-36.2707913902, lon=144.971396306}
Point{id=id487, cat=RESTAURANT, lat=-36.2305064584, lon=144.196493327}
Point{id=id704, cat=RESTAURANT, lat=-36.3347836327, lon=145.008526079}
Point{id=id862, cat=RESTAURANT, lat=-36.2521585272, lon=143.707755027}
Point{id=id300, cat=RESTAURANT, lat=-36.3479032148, lon=145.745617404}
Point{id=id831, cat=RESTAURANT, lat=-36.3432397838, lon=145.770916586}
Point{id=id368, cat=RESTAURANT, lat=-36.4441749498, lon=145.011776895}
Point{id=id735, cat=RESTAURANT, lat=-36.4418929374, lon=144.258137775}
Point{id=id990, cat=RESTAURANT, lat=-36.4848177759, lon=144.9681889}
Point{id=id10, cat=RESTAURANT, lat=-36.4840417904, lon=144.608559957}
Point{id=id442, cat=RESTAURANT, lat=-36.4646055199, lon=145.576623402}
Point{id=id8, cat=RESTAURANT, lat=-36.5235015242, lon=145.001796399}
Point{id=id288, cat=RESTAURANT, lat=-36.538970092, lon=145.063629989}
Point{id=id287, cat=RESTAURANT, lat=-36.2698910011, lon=146.436530155}
Point{id=id474, cat=RESTAURANT, lat=-36.4937447787, lon=145.653453215}
Point{id=id238, cat=RESTAURANT, lat=-36.5990284328, lon=144.979362088}
Point{id=id661, cat=RESTAURANT, lat=-36.5988629114, lon=144.642881442}
Point{id=id636, cat=RESTAURANT, lat=-36.2059967912, lon=143.022625664}
Point{id=id120, cat=RESTAURANT, lat=-36.5384519923, lon=145.765199677}
Point{id=id39, cat=RESTAURANT, lat=-36.6280316847, lon=145.028592757}
Point{id=id457, cat=RESTAURANT, lat=-36.6373195336, lon=144.975490984}
Point{id=id476, cat=RESTAURANT, lat=-36.6246780421, lon=145.246356535}
Point{id=id63, cat=RESTAURANT, lat=-36.6508512857, lon=144.768797106}
Point{id=id833, cat=RESTAURANT, lat=-36.0569733817, lon=142.652948129}
Point{id=id233, cat=RESTAURANT, lat=-36.5165912981, lon=146.02146106}
Point{id=id343, cat=RESTAURANT, lat=-36.6259695552, lon=145.48385498}
Point{id=id136, cat=RESTAURANT, lat=-36.670807663, lon=144.809180897}
Point{id=id417, cat=RESTAURANT, lat=-36.637330971, lon=144.272999944}
Point{id=id627, cat=RESTAURANT, lat=-36.5483836073, lon=143.794288693}
Point{id=id970, cat=RESTAURANT, lat=-36.6927662794, lon=144.81397344}
Point{id=id472, cat=RESTAURANT, lat=-36.6230189193, lon=143.993905825}
Point{id=id7, cat=RESTAURANT, lat=-36.6661331035, lon=144.135591894}
Point{id=id767, cat=RESTAURANT, lat=-36.6042726763, lon=145.93138327}
Point{id=id475, cat=RESTAURANT, lat=-36.6824602297, lon=145.548019069}
Point{id=id360, cat=RESTAURANT, lat=-36.730266697, lon=144.635873917}
Point{id=id179, cat=RESTAURANT, lat=-36.5389677912, lon=143.509750332}
Point{id=id189, cat=RESTAURANT, lat=-36.7284906904, lon=144.412969554}
Point{id=id147, cat=RESTAURANT, lat=-36.4956240925, lon=146.43162387}
Point{id=id605, cat=RESTAURANT, lat=-36.7140747141, lon=145.573057707}
Point{id=id834, cat=RESTAURANT, lat=-36.5655457952, lon=146.263502496}
Point{id=id690, cat=RESTAURANT, lat=-36.6631375515, lon=143.830496958}
Point{id=id976, cat=RESTAURANT, lat=-36.5869524716, lon=143.52758985}
Point{id=id230, cat=RESTAURANT, lat=-36.7843854834, lon=145.232783459}
Point{id=id281, cat=RESTAURANT, lat=-36.7722633302, lon=144.334622006}
Point{id=id459, cat=RESTAURANT, lat=-36.6257269652, lon=143.569335259}
Point{id=id560, cat=RESTAURANT, lat=-36.7321837813, lon=144.024707065}
Point{id=id103, cat=RESTAURANT, lat=-36.8033011951, lon=144.440692958}
Point{id=id394, cat=RESTAURANT, lat=-36.8353640101, lon=145.01573383}
Point{id=id770, cat=RESTAURANT, lat=-36.7326145324, lon=145.873041113}
Point{id=id220, cat=RESTAURANT, lat=-36.8114850278, lon=144.357571234}
Point{id=id747, cat=RESTAURANT, lat=-36.7901209573, lon=144.183463519}
Point{id=id290, cat=RESTAURANT, lat=-36.8206404304, lon=145.368993243}
Point{id=id628, cat=RESTAURANT, lat=-36.6270874568, lon=146.329305619}
Point{id=id214, cat=RESTAURANT, lat=-36.6668285991, lon=143.538346572}
Point{id=id561, cat=RESTAURANT, lat=-36.8293304608, lon=145.3875812}
Point{id=id502, cat=RESTAURANT, lat=-36.7956932734, lon=145.653632625}
Point{id=id684, cat=RESTAURANT, lat=-36.8576748989, lon=145.056193446}
Point{id=id381, cat=RESTAURANT, lat=-36.8387071724, lon=144.385986683}
Point{id=id152, cat=RESTAURANT, lat=-36.2194608572, lon=147.250956237}
Point{id=id675, cat=RESTAURANT, lat=-36.7419441353, lon=143.774770566}
Point{id=id363, cat=RESTAURANT, lat=-36.8694142956, lon=144.787408426}
Point{id=id925, cat=RESTAURANT, lat=-36.8759758483, lon=144.785059712}
Point{id=id683, cat=RESTAURANT, lat=-36.8724345104, lon=145.093938546}
Point{id=id155, cat=RESTAURANT, lat=-36.8734198212, lon=144.644975577}
Point{id=id794, cat=RESTAURANT, lat=-36.7587751495, lon=143.777106982}
Point{id=id958, cat=RESTAURANT, lat=-36.8862549615, lon=144.95235283}
Point{id=id129, cat=RESTAURANT, lat=-36.8912409378, lon=144.850686598}
Point{id=id959, cat=RESTAURANT, lat=-36.8359424146, lon=145.619281872}
Point{id=id900, cat=RESTAURANT, lat=-36.2787374258, lon=147.223157096}
Point{id=id681, cat=RESTAURANT, lat=-36.9136295639, lon=144.72683164}
Point{id=id481, cat=RESTAURANT, lat=-36.7894470263, lon=145.986955306}
Point{id=id431, cat=RESTAURANT, lat=-36.8363404781, lon=143.936269166}
Point{id=id441, cat=RESTAURANT, lat=-36.8260052502, lon=143.882092497}
Point{id=id271, cat=RESTAURANT, lat=-36.7310790914, lon=143.496815588}
Point{id=id447, cat=RESTAURANT, lat=-36.8741181769, lon=145.593145671}
Point{id=id55, cat=RESTAURANT, lat=-36.8156726556, lon=143.818193782}
Point{id=id766, cat=RESTAURANT, lat=-36.7789671244, lon=143.660284868}
Point{id=id38, cat=RESTAURANT, lat=-36.84849509, lon=143.952277316}
Point{id=id817, cat=RESTAURANT, lat=-36.6378492561, lon=146.561950802}
Point{id=id467, cat=RESTAURANT, lat=-36.8353090519, lon=143.841936966}
Point{id=id26, cat=RESTAURANT, lat=-36.9056046238, lon=145.482514465}
Point{id=id427, cat=RESTAURANT, lat=-36.9294832252, lon=144.459295998}
Point{id=id949, cat=RESTAURANT, lat=-36.9239434814, lon=144.374797831}
Point{id=id249, cat=RESTAURANT, lat=-36.9189171751, lon=144.294961095}
Point{id=id771, cat=RESTAURANT, lat=-36.8684084514, lon=143.949080603}
Point{id=id237, cat=RESTAURANT, lat=-36.9206064196, lon=145.476679559}
Point{id=id928, cat=RESTAURANT, lat=-36.9475002174, lon=144.519999517}
Point{id=id914, cat=RESTAURANT, lat=-36.9312292894, lon=145.423985958}
Point{id=id401, cat=RESTAURANT, lat=-36.9200000488, lon=144.220950171}
Point{id=id289, cat=RESTAURANT, lat=-36.9433250705, lon=144.379258942}
Point{id=id97, cat=RESTAURANT, lat=-36.9727673193, lon=144.931364175}
Point{id=id150, cat=RESTAURANT, lat=-36.975824351, lon=144.908502506}
Point{id=id186, cat=RESTAURANT, lat=-36.9489050756, lon=144.288408062}
Point{id=id323, cat=RESTAURANT, lat=-36.5820100542, lon=146.837729684}
Point{id=id444, cat=RESTAURANT, lat=-36.981484737, lon=145.145039808}
Point{id=id149, cat=RESTAURANT, lat=-36.9069181201, lon=145.783640916}
Point{id=id715, cat=RESTAURANT, lat=-36.9427526638, lon=145.615496651}
Point{id=id884, cat=RESTAURANT, lat=-36.9917277166, lon=144.594268289}
Point{id=id693, cat=RESTAURANT, lat=-36.8647881903, lon=146.03058436}
Point{id=id228, cat=RESTAURANT, lat=-36.989753915, lon=144.518459495}
Point{id=id814, cat=RESTAURANT, lat=-36.9623565609, lon=145.50463626}
Point{id=id651, cat=RESTAURANT, lat=-36.9729012947, lon=145.418418242}
Point{id=id985, cat=RESTAURANT, lat=-36.8311187577, lon=146.180740957}
Point{id=id364, cat=RESTAURANT, lat=-36.9848504231, lon=144.40245039}
Point{id=id601, cat=RESTAURANT, lat=-37.0118506297, lon=144.879271947}
Point{id=id821, cat=RESTAURANT, lat=-36.960643286, lon=144.131413154}
Point{id=id27, cat=RESTAURANT, lat=-36.9852808755, lon=144.260134284}
Point{id=id538, cat=RESTAURANT, lat=-36.8168781715, lon=146.297606676}
Point{id=id206, cat=RESTAURANT, lat=-36.8652415994, lon=143.602023854}
Point{id=id919, cat=RESTAURANT, lat=-37.0063734109, lon=145.316976804}
Point{id=id720, cat=RESTAURANT, lat=-36.9651107933, lon=145.669002697}
Point{id=id161, cat=RESTAURANT, lat=-36.9084059738, lon=145.976145076}
Point{id=id639, cat=RESTAURANT, lat=-37.0297029138, lon=144.913265254}
Point{id=id916, cat=RESTAURANT, lat=-37.0300659417, lon=144.853681399}
Point{id=id731, cat=RESTAURANT, lat=-37.0067266829, lon=145.370152133}
Point{id=id208, cat=RESTAURANT, lat=-37.0125461257, lon=145.324611498}
Point{id=id996, cat=RESTAURANT, lat=-36.8800213752, lon=143.629080414}
Point{id=id646, cat=RESTAURANT, lat=-37.0213420521, lon=144.504439209}
Point{id=id878, cat=RESTAURANT, lat=-36.8584573702, lon=146.207730429}
Point{id=id604, cat=RESTAURANT, lat=-36.8547983128, lon=143.516464971}
Point{id=id116, cat=RESTAURANT, lat=-36.2005707591, lon=142.126899943}
